customer_id,gender,age,anual_income,customer_score,cost_to_contact
60,Male,53.0,46.0,46.0,1
134,Female,31.0,72.0,71.0,1
106,Female,21.0,62.0,42.0,1
190,Female,36.0,103.0,85.0,1
97,Female,47.0,60.0,47.0,1
98,Female,27.0,60.0,50.0,1
91,Female,68.0,59.0,55.0,1
50,Female,31.0,40.0,42.0,1
44,Female,31.0,39.0,61.0,1
35,Female,49.0,33.0,14.0,1
183,Male,46.0,98.0,15.0,1
186,Male,30.0,99.0,97.0,1
57,Female,51.0,44.0,50.0,1
177,Male,58.0,88.0,15.0,1
170,Male,32.0,87.0,63.0,1
18,Male,20.0,21.0,66.0,1
24,Male,31.0,25.0,73.0,1
181,Female,37.0,97.0,32.0,1
68,Female,68.0,48.0,48.0,1
41,Female,65.0,38.0,35.0,1
14,Female,24.0,20.0,77.0,1
188,Male,28.0,101.0,68.0,1
37,Female,42.0,34.0,17.0,1
96,Male,24.0,60.0,52.0,1
79,Female,23.0,54.0,52.0,1
189,Female,41.0,103.0,17.0,1
193,Male,33.0,113.0,8.0,1
107,Female,66.0,63.0,50.0,1
48,Female,27.0,40.0,47.0,1
61,Male,70.0,46.0,56.0,1
163,Male,19.0,81.0,5.0,1
20,Female,35.0,23.0,98.0,1
23,Female,46.0,25.0,5.0,1
145,Male,25.0,77.0,12.0,1
38,Female,30.0,34.0,73.0,1
46,Female,24.0,39.0,65.0,1
67,Female,43.0,48.0,50.0,1
7,Female,35.0,18.0,6.0,1
45,Female,,39.0,28.0,1
53,Female,31.0,43.0,54.0,1
90,Female,50.0,58.0,46.0,1
168,Female,33.0,86.0,95.0,1
165,Male,50.0,85.0,26.0,1
42,Male,24.0,38.0,92.0,1
199,Male,32.0,137.0,18.0,1
71,Male,70.0,49.0,55.0,1
121,Male,27.0,67.0,56.0,1
119,Female,51.0,67.0,43.0,1
5,Female,31.0,17.0,40.0,1
179,Male,59.0,93.0,14.0,1
62,Male,19.0,46.0,55.0,1
105,Male,49.0,62.0,,1
196,Female,35.0,120.0,79.0,1
2,Male,21.0,15.0,81.0,1
78,Male,40.0,54.0,48.0,1
112,Female,19.0,63.0,54.0,1
86,Male,48.0,54.0,46.0,1
115,Female,18.0,65.0,48.0,1
191,Female,34.0,103.0,23.0,1
157,Male,37.0,78.0,1.0,1
113,Female,38.0,64.0,42.0,1
80,Female,49.0,54.0,42.0,1
178,Male,27.0,88.0,69.0,1
200,Male,30.0,137.0,83.0,1
32,Female,21.0,30.0,73.0,1
